REGION,Key,Area,CENSUS 2010 TOTAL POPULATION,CENSUS 2010 STATE DENSITY,CENSUS 2010 RANK,2020 STATE DENSITY,STATE LAND AREA,Metropolian Areas CBSA title,Major Cities CBSA title,CBSA Code,CBSA Major City Population 2010,CBSA Major City max weighted density,CBSA Major City mean pop density,Covid Positive 3 31,Covid Negative 3 31,Covid Pending 3 31,Covid Hospitalized 3 31,Covid Death 3 31,Total COVID Tests 3 31,Covid Positive 4 4,Data Grade 4 4,Covid Score 4 4,Covid Negative,Covid Pending 4 4,Covid Hospitalized Currently 4 4,Covid Hospitalized Cumulative 4 4,Covid ICU Currently 4 4,Covid ICU Cumulative 4 4,Covid Ventilator Currently 4 4,Covid Ventilator Cumulative 4 4,Covid Recovered,Covid Death 4 4,Covid Hospitalized 4 4,Covid Total Test Results,Covid posNeg 4 4,fips,FLUVIEW TOTAL INFLUENZA DEATHS Season 2018,FLUVIEW TOTAL PNEUMONIA DEATHS Season 2018,Kaiser Total Hospital Beds,Kaiser Beds per 1000 Population,Kaiser Total CHCs,Kaiser CHC Service Delivery Sites,BRFSS Asthma Prevalance,Fluview US FLU Hospitalization Rate Asthma,BRFSS Age 55 64 Asthma Rate,BRFSS Age 65 plus Asthma Rate,BRFSS COPD Prevalance,Fluview US FLU Hospitalization Rate Lung Disease,BRFSS Age 55 64 COPD Rate,BRFSS Age 65 plus COPD Rate,BRFSS Heart Disease Prevalance,Fluview US FLU Hospitalization Rate Heart Disease,BRFSS Age 55 64 Heart Disease Rate,BRFSS Age 65 plus Heart Disease Rate,BRFSS 2017 High Cholestoral Prevalance,BRFSS 2017 High Blood Pressure Prevalance,BRFSS Diabetes Prevalance,Fluview US FLU Hospitalization Rate Metabolic Disorders,BRFSS Age 55 64 Diabetes Rate,BRFSS Age 65 plus Diabetes Rate,BRFSS Obesity BMI Prevalance,Fluview US FLU Hospitalization Rate Obesity,BRFSS Age 55 64 Obesity Rate,BRFSS Age 65 plus Obesity Rate,BRFSS Kidney Disease Prevalance,Fluview US FLU Hospitalization Rate Kidney Disease,BRFSS Age 55 64 Kidney Disease Rate,BRFSS Age 65 plus  Kidney Disease Rate,BRFSS Other Cancer Prevalance,BRFSS 55 64 Other Cancer Rate,BRFSS 65 plus Other Cancer Rate,Census Population Over 60,Census Population Over 60 Employment Rate,Census Total Population Over 16 Estimate,Census Total Workers Over 16 Estimate,COMMUTE Census Worker Drive To Work Rate,COMMUTE Census Worker Carpool To Work Rate,COMMUTE Census Worker Public Transportation Rate,COMMUTE Census Worker Walk Rate,COMMUTE Census Worker Taxicab Motorcycle Bicycle Other Rate,COMMUTE Census Work At Home Rate,HOUSEHOLD UNITS,UNITS IN STRUCTURE 5 to 9 apartments,UNITS IN STRUCTURE 10 or more apartments,OCCUPANTS PER ROOM 1.0 To 1.50,OCCUPANTS PER ROOM 1.51 Plus,Occupants_Per_Room_1.51_Plus_Percentage,Occupants_Per_Room_1.0_To_1.50_Percentage,FAMILY HOUSEHOLDS Householder 65 Plus,NONFAMILY Householder Living Alone 65 Plus,INDUSTRY Agriculture Forestry Fishing Hunting,INDUSTRY Construction,INDUSTRY Manufacturing,INDUSTRY Wholesale Trade,INDUSTRY Retail Trade,INDUSTRY Transportation Warehousing,INDUSTRY Professional Scientific Technical,INDUSTRY Management Companies Enterprises,INDUSTRY Administrative Support  Waste Management,INDUSTRY Educational Services,INDUSTRY Health Care Social Assistance,INDUSTRY Arts Entertainment Recreation,INDUSTRY Accommodation Food Services,Occupation Total Management Business Science Arts,Occupation Total Management Business Financial,OCCUPATION Management,OCCUPATION Business  Financial Operations,Occupation Total Computer Engineering Science,OCCUPATION Computer Mathematical,OCCUPATION Architecture Engineering,OCCUPATION Life Physical Social Science,Occupation Total Education Legal Community Service Arts Media,OCCUPATION Community Social Service,OCCUPATION Legal,OCCUPATION Educational Instruction Library,OCCUPATION Arts Design Entertainment Sports Media,Occupation Total Healthcare Practitioners Technical,OCCUPATION Health Diagnosing Treating Practitioners Other Technical,OCCUPATION Health Technologists,Occupation Total Service,OCCUPATION Healthcare Support,Occupation Total Protective Service,OCCUPATION Firefighter Other Protective Service,OCCUPATION Law Enforcement,OCCUPATION Food Preparation Service,OCCUPATION Building Grounds Cleaning  Maintenance,OCCUPATION Personal care Service,Occupation Total Sales Office,OCCUPATION Sales,OCCUPATION Office,Occupation Total Natural Resources Construction Maintenance,OCCUPATION Farming Fishing Forestry,OCCUPATION Construction Extraction,OCCUPATION Installation Maintenance Repair,Occupation Total Production Transportation Material Moving,OCCUPATION Production,OCCUPATION Transportation,OCCUPATION Material Moving
South Dakota,42,Midwest,814180,10.7,48,12,75811, SD Metro Area,Sioux Falls,43620,228261,2215.0,1692.9,108,3609,0.0,12.0,1,3730.0,212,A,4,5012,1.0,0.0,19.0,0.0,0.0,0.0,0.0,76.0,2,19.0,5224,5224,46,39,627,4183,4.76,4,48,0.079,0.194,0.006241,0.00553,0.046,0.295,0.003358,0.004738,0.044,0.513,0.002464,0.005544,0.295,0.308,0.093,0.448,0.010416,0.019158,0.301,0.361,0.100534,0.095718,0.027,0.216,0.000891,0.001647,0.079,0.007189,0.017222,205307,0.35,673526,445146,0.81,0.09,0.0,0.03,0.01,0.06,1927991,74344,132738,25969,12868,0.6674305014909302,1.3469461216364598,254014,222484,16732,158238,310636,50458,274323,93467,130987,3567,107621,202920,305788,39192,195849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tennessee,43,South,6346105,153.9,21,167,41235, TN-MS-AR Metro Area,Memphis,32820,1316100,2372.3,1151.14,2239,25121,0.0,175.0,23,27558.0,3321,A,4,38070,0.0,0.0,311.0,0.0,0.0,0.0,0.0,416.0,43,311.0,41391,41391,47,165,4521,19387,2.86,29,207,0.098,0.194,0.012838,0.009604,0.106,0.295,0.019504,0.01749,0.057,0.513,0.0057,0.007353,0.365,0.387,0.138,0.448,0.031188,0.038778,0.344,0.361,0.134848,0.105608,0.039,0.216,0.002457,0.002964,0.076,0.007676,0.013224,1550510,0.27,5330967,3076837,0.83,0.09,0.01,0.01,0.01,0.05,345449,13175,36592,5057,2459,0.7118272161737332,1.4638919203703007,43204,38909,26746,31755,45924,13114,51461,15173,18425,345,11449,38149,74784,9367,29517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Texas,44,South,25145561,96.3,28,113,261232, TX Metro Area,Laredo,29700,250304,5300.1,2485.108,3266,39726,0.0,196.0,41,43229.0,6110,A,4,57641,0.0,0.0,196.0,0.0,0.0,0.0,0.0,38.0,105,196.0,63751,63751,48,448,12967,65671,2.29,72,537,0.074,0.194,0.00555,0.005698,0.062,0.295,0.004216,0.009362,0.038,0.513,0.002736,0.003572,0.33,0.325,0.126,0.448,0.02772,0.03717,0.348,0.361,0.131196,0.122844,0.037,0.216,0.001554,0.0037,0.051,0.003417,0.007497,5139025,0.3,21663694,13256665,0.81,0.1,0.01,0.01,0.02,0.05,2603140,112276,212529,35927,14922,0.5732307905068494,1.3801409067510775,306615,280975,22058,204744,412442,74261,363023,182901,168188,7919,145289,255047,447018,51688,252621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utah,45,West,2763885,33.6,43,40,82170, UT Metro Area,Salt Lake City,41620,1124197,4563.5,2945.22,887,17626,0.0,73.0,5,18591.0,1428,A,4,26615,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,8,117.0,28043,28043,49,63,1022,5767,1.83,13,60,0.093,0.194,0.009672,0.009021,0.042,0.295,0.002352,0.003738,0.024,0.513,0.000888,0.00204,0.286,0.245,0.084,0.448,0.013356,0.017556,0.278,0.361,0.091184,0.081176,0.026,0.216,0.000988,0.001638,0.061,0.0061,0.011285,499149,0.3,2305534,1510473,0.76,0.11,0.02,0.02,0.02,0.07,9776083,463878,1439685,330718,127044,1.2995388848478475,3.382929543458254,975018,818397,107486,1188835,1126931,359631,1530829,702638,926538,23139,616788,1283010,1619124,209264,1054207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vermont,46,Northeast,625741,67.9,32,68,9217, VT Metro Area,Burlington-South Burlington,15540,211261,2053.9,2053.9,293,3957,0.0,36.0,13,4299.0,461,A,4,5383,0.0,29.0,45.0,0.0,0.0,0.0,0.0,15.0,20,45.0,5844,5844,50,35,291,1305,2.09,11,72,0.12,0.194,0.01452,0.01176,0.062,0.295,0.005518,0.008184,0.036,0.513,0.00144,0.003492,0.304,0.304,0.092,0.448,0.01288,0.01656,0.275,0.361,0.085525,0.070125,0.02,0.216,0.00048,0.00086,0.075,0.00735,0.013125,172909,0.36,519162,323581,0.75,0.09,0.01,0.05,0.02,0.08,998891,34204,111097,29204,8906,0.8915887719480905,2.9236423193321395,113469,72310,11492,116509,153370,33559,178581,62564,120102,2455,74526,170261,173802,34633,99476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Virginia,47,South,8001024,202.6,16,218,39490, VA Metro Area,Richmond,40060,1258251,2175.7,1445.8875,1250,12151,0.0,165.0,27,13593.0,2407,A,4,19145,0.0,0.0,390.0,0.0,145.0,0.0,108.0,0.0,52,390.0,21552,21552,51,181,3334,18065,2.12,26,166,0.085,0.194,0.007905,0.006035,0.064,0.295,0.006272,0.008,0.038,0.513,0.001938,0.004332,0.347,0.324,0.105,0.448,0.01722,0.024465,0.304,0.361,0.107008,0.088768,0.03,0.216,0.00105,0.00216,0.069,0.00552,0.013179,1847250,0.31,6642133,4103126,0.77,0.09,0.05,0.02,0.02,0.06,261373,11550,16895,1383,2455,0.9392706974324051,0.5291288694700678,35629,33924,8496,22391,32226,6595,39077,7985,19010,352,11202,45185,52792,10389,22851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Washington,48,West,6724540,101.2,27,117,66456, WA Metro Area,Seattle-Tacoma-Bellevue,42660,3439809,4721.6,2229.91,4896,60566,0.0,254.0,195,65911.0,6966,A,4,75633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284,0.0,82599,82599,53,292,3252,12774,1.7,27,349,0.096,0.194,0.010368,0.009504,0.051,0.295,0.004233,0.005457,0.038,0.513,0.001976,0.004256,0.318,0.295,0.099,0.448,0.017226,0.020196,0.287,0.361,0.095284,0.077203,0.027,0.216,0.001161,0.001782,0.071,0.0071,0.012567,1636420,0.28,5946027,3609979,0.71,0.1,0.07,0.04,0.02,0.07,3175524,150183,430370,46669,18615,0.5862024661126793,1.4696472141290697,350697,340359,30528,286162,294616,70856,423982,160249,479780,6032,167837,415971,507937,81620,290596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Virginia,49,South,1852994,77.1,31,74,24038, WV Metro Area,Morgantown,34060,129709,2034.2,1211.266667,162,3981,0.0,1.0,1,4145.0,282,B,3,7404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,7686,7686,54,65,1584,6868,3.81,27,342,0.123,0.194,0.018327,0.013653,0.153,0.295,0.032742,0.035496,0.083,0.513,0.008051,0.015604,0.397,0.435,0.162,0.448,0.040338,0.04455,0.395,0.361,0.16985,0.1343,0.046,0.216,0.003542,0.003818,0.08,0.00752,0.01368,492418,0.21,1459045,726374,0.83,0.09,0.01,0.03,0.01,0.03,2895575,129494,466469,66485,32980,1.1389793046286143,2.2960897231119897,329464,296294,91873,255141,350875,92909,421357,174246,353620,5960,144910,304346,492903,94166,258840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wisconsin,50,Midwest,5686986,105.0,25,108,54158, WI Metro Area,Milwaukee-Waukesha-West Allis,33340,1555908,5257.6,2330.25,1351,17375,0.0,337.0,16,19079.0,2112,A,4,23859,0.0,0.0,588.0,0.0,0.0,0.0,0.0,0.0,56,588.0,25971,25971,55,126,2675,12103,2.08,17,143,0.09,0.194,0.00846,0.00648,0.053,0.295,0.004452,0.0053,0.038,0.513,0.001558,0.00437,0.345,0.308,0.087,0.448,0.012006,0.016704,0.32,0.361,0.11552,0.09088,0.028,0.216,0.001232,0.001764,0.078,0.007332,0.016614,1391738,0.29,4621479,2952361,0.82,0.08,0.02,0.03,0.02,0.05,734703,21135,32711,9214,2585,0.3518428535067912,1.2541122058845546,100388,100039,6597,42290,60048,14925,95354,31542,35875,98,25069,71864,130333,14401,57205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wyoming,51,West,563626,5.8,51,6,97093, WY Metro Area,Casper,16220,75450,2003.6,1910.65,109,1999,0.0,17.0,0,2125.0,187,A,4,2945,0.0,0.0,23.0,0.0,0.0,0.0,0.0,49.0,0,23.0,3132,3132,56,22,298,2015,3.49,6,14,0.087,0.194,0.00783,0.007482,0.064,0.295,0.006528,0.008576,0.037,0.513,0.001665,0.003663,0.308,0.308,0.088,0.448,0.013024,0.015136,0.29,0.361,0.0986,0.07656,0.024,0.216,0.000696,0.00132,0.07,0.00497,0.01141,137988,0.32,449840,280862,0.76,0.1,0.01,0.04,0.02,0.06,2371960,124523,268129,29826,10318,0.4349989038600988,1.257441103559925,287306,276652,59814,177241,546621,75584,322856,123645,148790,4917,98431,253622,457142,55806,190174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
